id,PESCADO,CARNE-ROJA,POLLO,CERDO,CORDERO,CONEJO
299,true,true,true,false,true,true
300,false,false,true,false,false,false
301,false,true,false,true,false,true
302,false,false,true,true,false,false
303,true,false,true,false,false,true
304,true,false,true,false,false,false
305,false,true,true,true,true,false
306,true,true,true,false,false,true
307,true,false,true,true,false,false
308,false,true,true,true,true,false
309,false,false,false,false,false,true
310,true,false,false,true,true,false
311,false,false,true,true,false,true
312,false,false,false,true,true,false
313,false,true,true,true,false,false
314,true,true,true,false,true,true
315,true,true,false,false,true,true
316,true,false,true,false,true,true
317,false,true,false,true,false,true
318,true,false,false,true,true,false
319,true,true,true,false,true,false
320,false,false,true,true,false,true
321,false,false,true,false,true,true
322,true,true,true,true,false,false
323,false,true,false,false,true,false
324,false,true,true,false,false,true
325,true,false,true,false,false,false
326,false,false,true,false,true,true
327,true,false,false,true,true,true
328,true,true,false,true,true,false
329,true,true,false,false,true,true
330,true,true,false,true,false,true
331,false,false,false,false,false,true
332,true,true,false,true,true,false
333,true,true,false,true,true,false
334,false,false,true,false,false,false
335,false,true,true,false,true,true
336,false,true,true,true,false,false
337,false,false,false,true,true,true
338,true,false,false,true,false,false
339,true,true,false,true,true,false
340,false,true,false,false,true,false
341,true,true,true,true,false,true
342,true,true,false,false,false,true
343,false,true,true,false,false,true
344,false,false,true,false,false,true
345,false,false,false,false,false,false
346,true,false,false,false,true,false
347,false,true,false,false,false,true
348,true,true,false,false,false,false
349,true,true,false,true,false,true
350,false,false,false,false,true,true
351,false,false,true,false,true,false
352,true,true,false,true,true,false
353,false,false,true,true,true,false
354,true,false,true,false,true,false
355,true,true,false,true,true,true
356,false,false,false,true,false,false
357,true,false,true,true,false,true
358,false,false,true,false,false,true
359,false,true,false,false,false,true
360,true,true,false,true,true,true
361,false,false,false,true,true,false
362,true,true,true,true,false,true
363,false,false,true,false,true,true
364,false,false,false,false,false,true
365,false,true,true,true,false,true
366,true,true,true,false,false,true
367,true,false,true,false,false,true
368,true,true,false,false,false,true
369,false,false,true,false,false,true
370,false,true,false,false,false,true
371,true,false,true,true,false,false
372,true,false,false,true,true,true
373,false,true,false,false,false,true
374,true,true,false,true,false,true
375,false,true,false,false,false,false
376,false,true,false,false,true,false
377,true,true,true,false,false,true
378,true,false,true,true,false,true
379,true,false,false,false,true,false
380,false,false,true,false,true,true
381,true,true,false,false,false,true
382,false,true,false,false,true,true
383,true,true,false,true,false,false
384,false,true,true,true,true,true
385,false,false,true,false,false,true
386,true,false,false,false,false,true
387,false,true,false,false,true,true
388,false,false,false,true,false,false
389,true,true,false,false,true,false
390,true,true,true,true,true,true
391,true,false,false,true,false,false
392,true,false,false,false,false,true
393,false,true,false,true,false,false
394,false,true,true,true,true,false
395,false,true,false,true,false,true
396,true,false,false,false,false,false
397,false,false,true,false,false,true
398,false,false,false,false,true,false
399,false,true,true,false,true,false
400,true,false,true,false,false,true
401,false,true,false,true,false,false
402,false,false,true,false,true,false
403,true,true,false,false,true,false
404,false,false,true,false,false,false
405,false,true,true,true,false,true
406,false,true,true,true,true,false
407,false,false,false,false,false,false
408,false,true,false,true,true,true
409,true,true,true,false,false,true
410,false,false,true,false,false,false
411,false,false,false,true,true,true
412,true,false,true,false,false,true
413,false,true,false,false,false,true
414,true,true,true,true,true,true
415,true,true,true,true,true,false
416,false,false,true,false,false,false
417,true,false,true,true,false,false
418,true,true,true,true,true,true
419,false,true,true,true,false,true
420,false,true,true,false,true,true
421,false,true,true,true,true,false
422,true,true,false,false,true,false
423,false,true,true,false,false,false
424,false,true,true,false,false,true
425,false,true,true,true,true,false
426,false,true,false,true,true,true
427,true,true,true,true,true,false
428,false,true,true,true,false,false
429,true,true,true,true,false,true
430,true,false,false,false,false,false
431,false,true,true,true,true,true
432,true,true,false,true,true,false
433,false,true,true,false,false,true
434,false,true,false,false,true,false
435,true,false,false,true,false,false
436,false,true,false,true,true,true
437,true,true,true,true,true,false
438,true,true,true,false,true,true
439,false,true,false,true,true,false
440,true,false,true,false,false,true
441,false,false,true,false,true,true
442,false,false,false,false,true,false
443,false,true,true,true,false,false
444,true,false,true,true,false,true
445,true,false,true,false,true,false
446,false,false,true,true,false,true
447,true,false,true,true,true,false
448,false,true,false,false,false,true
449,true,false,true,false,false,false
450,true,false,false,true,true,false
451,true,true,true,false,false,false
452,true,false,true,true,true,false
453,true,true,true,false,true,false
454,false,false,true,true,false,false
455,true,true,true,true,true,true
456,true,true,true,false,true,true
457,false,false,false,false,false,false
458,true,false,true,false,true,false
459,true,true,true,true,true,false
460,true,false,false,false,true,true
461,false,false,false,false,false,true
462,false,true,false,true,true,true
463,true,true,true,true,false,false
464,true,false,true,true,true,true
465,true,true,false,false,true,true
466,false,true,false,true,true,true
467,false,true,true,true,false,true
468,true,true,false,false,true,false
469,true,true,false,false,false,false
470,true,false,true,false,true,true
471,true,true,true,true,false,true
472,true,false,false,true,true,true
473,true,false,false,false,false,true
474,false,false,true,true,true,true
475,true,true,false,false,false,false
476,true,true,false,false,true,false
477,true,false,true,true,false,false
478,false,false,true,false,false,true
479,false,false,true,false,true,false
480,true,false,false,true,false,false
481,true,true,true,false,true,false
482,false,false,true,true,false,false
483,true,true,false,false,true,true
484,true,true,false,false,true,true
485,true,false,true,false,true,false
486,false,true,false,false,true,false
487,false,false,false,true,false,true
488,true,true,true,true,false,true
489,false,true,false,false,true,false
490,false,false,true,true,true,true
491,true,true,false,false,false,false
492,true,true,true,false,true,true
493,false,true,true,true,false,false
494,false,false,false,true,true,false
495,false,true,true,false,true,false
496,false,true,true,false,true,false
497,true,false,false,true,true,true
498,false,true,true,false,false,true
499,false,false,true,true,true,true
500,true,false,true,false,false,false
501,true,true,true,true,false,true
502,true,true,true,true,false,true
503,false,false,false,false,true,true
504,false,false,true,false,true,true
505,true,true,false,true,true,true
506,true,false,true,true,false,false
507,false,false,true,true,true,true
508,false,true,false,false,false,true
509,true,true,false,false,true,true
510,true,false,true,false,false,false
511,true,false,false,false,false,false
512,true,true,true,false,true,true
513,false,false,false,true,false,false
514,false,true,false,false,true,true
515,false,false,true,false,true,true
516,false,false,false,true,true,false
517,false,false,true,true,false,true
518,true,false,false,true,false,false
519,true,false,false,true,true,false
520,true,true,false,true,false,false
521,true,false,false,false,true,true
522,true,false,false,true,true,true
523,false,true,true,false,false,false
524,false,true,true,true,true,false
525,true,false,true,false,true,false
526,false,false,true,true,true,true
527,false,true,true,false,false,true
528,false,false,false,true,true,true
529,true,true,true,false,false,false
530,false,false,true,true,false,false
531,true,false,false,false,true,false
532,true,false,true,false,false,true
533,true,true,true,false,false,true
534,true,true,true,true,true,true
535,false,true,false,true,false,false
536,true,false,true,false,true,true
537,true,false,false,true,false,false
538,false,false,false,true,true,false
539,false,true,false,true,true,false
540,true,false,false,false,false,false
541,false,true,true,true,true,true
542,true,false,true,false,false,false
543,false,true,true,true,false,true
544,true,false,false,false,true,true
545,false,false,true,false,true,false
546,true,true,false,false,false,true
547,true,true,false,true,true,false
548,true,true,false,false,false,true
549,false,true,false,false,true,true
550,true,true,false,true,true,false
551,false,true,false,true,true,true
552,false,true,false,false,true,false
553,true,false,true,false,true,false
554,false,false,true,false,false,false
555,false,true,false,false,false,false
556,false,true,true,false,false,true
557,true,false,true,true,false,true
558,false,false,false,false,true,false
559,true,true,false,true,false,false
560,true,false,true,false,true,true
561,true,true,true,true,false,false
562,true,false,false,true,true,true
563,false,false,true,true,false,true
564,false,true,true,false,true,false
565,true,true,true,false,true,true
566,true,false,true,false,false,true
567,true,false,false,false,false,false
568,false,false,false,true,true,true
569,false,false,true,false,false,false
570,false,true,false,false,false,true
571,false,true,true,false,true,true
572,true,true,false,true,false,true
573,true,true,true,false,false,true
574,true,false,false,false,false,true
575,true,false,false,false,true,false
576,false,false,false,true,true,true
577,false,true,true,true,false,false
578,false,true,false,false,true,false
579,true,true,true,false,true,true
580,false,false,false,false,false,true
581,false,true,true,false,false,false
582,true,false,true,true,false,true
583,false,false,true,true,true,true
584,false,false,true,false,true,false
585,false,true,true,false,false,true
586,true,false,true,true,false,false
587,true,false,false,false,true,true
588,false,false,false,true,true,false
589,false,false,false,true,true,false
590,true,true,true,false,true,false
591,true,true,false,false,false,true
592,false,false,true,true,false,true
593,true,false,false,true,false,true
594,false,false,false,false,true,true
595,true,true,false,false,true,false
596,false,true,false,true,true,true
597,true,false,true,true,false,true
598,false,false,false,true,true,true
599,false,true,true,true,false,true
600,true,false,false,true,true,false
601,false,true,false,false,true,false
602,true,false,false,false,false,false
603,false,true,true,false,true,false
604,true,true,true,false,true,false
605,true,false,true,true,true,false
606,false,true,false,false,true,true
607,false,true,true,false,false,false
608,false,true,true,true,true,true
609,false,false,false,false,true,false
610,false,false,false,true,false,false
611,true,true,true,false,false,true
612,true,false,false,true,false,false
613,false,true,false,false,true,true
614,false,false,false,false,true,true
615,false,false,false,true,true,true
616,true,true,true,false,false,true
617,false,false,true,true,false,true
618,false,true,false,false,true,true
619,true,false,false,false,false,true
620,true,true,false,false,true,false
621,true,true,false,true,true,true
622,false,false,true,false,true,true
623,false,false,false,false,true,true
624,true,true,true,true,true,false
625,true,false,true,true,true,true
626,false,false,true,false,false,true
627,false,true,true,true,false,true
628,false,false,true,true,false,false
629,true,false,false,true,true,false
630,false,true,true,true,true,false
631,true,false,false,true,true,false
632,false,false,true,false,true,false
633,false,false,false,true,true,true
634,false,false,true,true,true,true
635,false,false,false,true,true,false
636,false,false,true,false,true,false
637,true,false,false,false,true,false
638,true,false,false,false,false,false
639,true,true,true,true,false,true
640,true,true,true,true,true,false
641,true,true,false,true,false,true
642,true,true,true,true,true,true
643,false,true,false,true,false,false
644,true,false,true,false,false,true
645,false,true,true,false,false,true
646,false,true,true,false,true,true
647,true,true,false,true,true,true
648,true,false,false,false,true,true
649,false,false,true,true,true,true
650,true,true,false,false,true,true
651,false,true,true,true,false,false
652,false,false,true,true,false,true
653,false,false,true,false,true,true
654,false,false,false,true,false,true
655,true,true,true,false,false,false
656,true,false,false,true,true,false
657,true,true,true,false,true,true
658,false,false,true,true,false,false
659,false,false,true,true,true,true
660,false,true,false,true,false,false
661,true,false,true,true,true,false
662,true,true,false,false,true,false
663,false,true,false,false,false,false
664,false,false,false,false,true,true
665,true,false,true,true,true,false
666,false,true,false,true,true,true
667,true,false,false,false,true,false
668,true,false,false,false,false,false
669,true,true,false,false,false,true
670,false,false,false,true,true,true
671,true,false,true,true,true,true
672,true,true,false,false,false,false
673,false,true,true,true,false,false
674,true,true,true,true,false,true
675,false,true,true,true,true,false
676,true,true,true,true,true,false
677,false,false,true,false,false,false
678,true,false,false,true,false,true
679,false,false,false,false,true,false
680,false,false,false,true,true,true
681,true,false,false,false,true,true
682,true,true,false,false,true,false
683,false,false,true,false,false,false
684,false,true,false,true,true,true
685,true,false,false,true,true,false
686,true,false,false,false,true,true
687,true,true,false,false,true,true
688,true,true,false,true,true,true
689,true,false,false,false,true,true
690,true,false,true,true,true,true
691,true,false,false,true,false,true
692,true,true,true,true,false,false
693,false,true,false,true,false,false
694,true,true,false,false,false,false
695,true,true,true,true,true,false
696,false,true,true,false,false,true
697,false,false,false,false,true,true
698,true,false,false,true,true,true
699,false,true,false,true,true,false
700,false,false,true,false,true,true
701,true,true,true,false,true,true
702,false,false,true,false,true,true
703,false,true,true,true,true,true
704,false,false,false,false,true,true
705,true,true,true,true,true,false
706,false,true,false,true,false,true
707,false,false,true,true,true,true
708,true,true,true,false,true,false
709,true,true,true,false,true,true
710,false,false,true,false,false,true
711,false,true,true,true,true,true
712,false,true,false,false,true,true
713,false,true,true,true,true,true
714,false,false,true,true,true,true
715,false,false,true,true,true,true
716,false,false,false,true,false,true
717,true,true,true,false,true,false
718,true,false,true,false,true,false
719,true,true,false,true,true,false
720,true,true,false,false,true,true
721,true,true,true,false,true,true
722,false,false,false,false,false,true
723,false,false,true,false,false,true
724,true,false,true,true,false,false
725,false,true,true,false,true,true
726,true,false,true,false,false,true
727,true,true,false,true,false,false
728,false,true,false,true,false,true
729,false,false,false,true,true,true
730,false,false,true,false,false,true
731,false,false,false,false,false,false
732,false,true,true,false,false,true
733,false,true,false,true,true,true
734,false,false,false,true,false,true
735,false,false,false,false,false,false
736,false,false,true,false,true,false
737,true,false,true,false,true,true
738,false,false,true,false,true,true
739,false,false,true,false,true,false
740,true,false,false,true,false,false
741,false,true,false,false,false,false
742,false,true,true,false,false,false
743,true,true,false,false,true,true
744,false,false,false,false,true,true
745,false,false,true,false,true,true
746,false,true,true,true,false,true
747,true,true,false,false,false,false
748,true,false,false,true,false,false
749,true,false,false,false,false,true
750,true,true,false,true,false,true
751,true,false,true,false,false,false
752,true,false,false,false,false,true
753,false,false,false,false,true,true
754,true,true,false,true,true,false
755,false,true,true,true,false,false
756,false,false,true,true,true,false
757,false,true,false,false,true,true
758,false,false,false,true,false,true
759,false,true,true,true,true,false
760,false,false,false,true,false,false
761,true,false,false,false,false,false
762,false,true,true,true,false,false
763,false,true,true,true,false,false
764,false,true,true,true,true,false
765,false,true,false,true,false,false
766,false,false,false,true,true,false
767,true,true,true,true,true,true
768,false,true,true,false,true,true
769,false,true,false,true,true,false
770,false,false,false,true,false,false
771,true,true,true,false,false,true
772,false,false,false,false,true,false
773,true,true,true,false,false,true
774,false,false,false,false,false,true
775,true,true,false,true,false,true
776,true,true,false,true,true,false
777,true,false,true,true,false,false
778,false,false,false,false,true,false
779,true,true,false,false,false,true
780,false,true,false,false,true,false
781,true,false,false,false,true,false
782,false,true,true,false,false,true
783,false,true,true,true,true,false
784,true,true,false,false,false,false
785,false,true,true,true,true,true
786,false,false,false,false,false,false
787,true,false,true,false,false,false
788,true,true,false,false,false,true
789,false,false,false,true,true,false
790,true,true,true,true,true,false
791,true,false,true,false,true,true
792,false,true,true,true,false,true
793,false,false,false,false,false,false
794,false,false,true,false,false,false
795,true,false,false,false,false,true
796,false,true,false,true,true,false
797,true,false,false,false,true,false
798,false,true,false,false,true,true
799,false,true,true,false,true,false
800,true,false,false,false,true,true
801,false,false,false,true,false,true
802,true,false,false,true,true,true
803,false,false,true,false,false,true
804,true,false,false,true,true,true
805,false,true,false,false,false,false
806,false,true,false,true,false,false
807,true,false,false,true,true,true
808,true,true,false,false,true,false
809,false,true,false,false,false,true
810,false,true,true,true,false,false
811,false,false,true,true,false,false
812,true,true,false,true,true,true
813,true,false,true,false,false,false
814,false,true,true,true,true,false
815,false,true,true,false,false,false
816,true,false,false,false,false,true
817,false,false,true,true,true,true
818,true,true,true,false,false,true
819,false,true,false,true,false,true
820,true,true,false,true,false,false
821,true,true,true,true,false,false
822,false,true,false,false,false,true
823,true,false,true,false,false,false
824,true,false,true,false,false,false
825,true,true,false,false,false,true
826,true,false,false,false,false,true
827,false,true,true,false,true,true
828,false,false,false,true,false,true
829,false,false,true,true,false,true
830,true,true,true,true,true,true
831,true,false,false,false,true,false
832,false,true,true,false,false,true
833,true,false,false,true,true,false
834,false,false,true,true,false,false
835,false,false,true,false,false,false
836,true,false,true,false,true,false
837,true,false,true,false,true,true
838,true,true,true,false,false,false
839,true,true,false,true,true,false
840,false,true,false,false,false,false
841,false,true,true,true,false,true
842,true,true,false,false,true,false
843,false,true,false,false,false,true
844,false,false,true,true,false,false
845,false,true,true,false,true,false
846,false,true,true,true,true,true
847,true,false,true,false,true,true
848,false,true,true,false,true,false
849,false,false,true,false,false,false
850,false,false,true,true,false,false
851,true,true,false,true,false,true
852,true,true,false,true,false,true
853,false,false,false,true,false,false
854,false,true,true,true,false,true
855,true,false,true,true,true,false
856,true,true,true,false,false,true
857,false,true,false,true,true,false
858,false,true,true,true,false,false
859,false,true,true,false,true,true
860,false,true,true,false,true,false
861,true,false,true,true,true,true
862,true,false,false,false,false,false
863,true,true,true,true,true,true
864,true,false,false,false,false,true
865,true,true,false,true,true,true
866,true,false,true,true,false,false
867,false,true,false,true,true,true
868,true,true,false,false,false,false
869,false,true,true,true,true,false
870,true,false,false,false,true,true
871,true,true,true,false,true,false
872,false,true,true,true,false,false
873,false,false,true,false,false,false
874,true,true,false,false,true,false
875,true,false,true,false,true,true
876,true,false,false,true,true,true
877,true,false,false,true,true,false
878,true,false,true,true,false,false
879,true,true,false,true,false,false
880,true,true,false,false,false,true
881,false,true,false,true,false,false
882,true,false,true,false,false,true
883,true,true,true,true,true,true
884,true,true,true,true,false,true
885,true,false,true,false,false,false
886,false,false,true,false,true,false
887,true,true,true,false,false,true
888,true,false,false,true,false,true
889,true,true,false,true,false,false
890,true,true,true,true,false,true
891,true,false,true,true,true,false
892,true,false,true,false,true,true
893,true,false,false,false,false,true
894,true,false,true,false,true,false
895,false,false,true,false,true,false
896,true,true,true,true,true,false
897,true,true,true,false,true,true
898,true,false,false,true,false,true
899,false,true,false,true,true,true
900,false,false,true,true,true,true
901,false,true,false,true,true,false
902,false,true,false,true,true,false
903,true,false,true,false,false,false
904,false,true,false,true,true,false
905,false,false,true,false,false,true
906,true,false,true,true,true,true
907,false,true,false,false,false,true
908,false,false,true,true,true,false
909,true,false,false,true,false,false
910,false,false,false,false,false,true
911,true,true,false,false,false,true
912,false,false,false,true,true,true
913,true,true,false,true,true,true
914,false,true,false,true,true,true
915,true,true,true,false,false,true
916,true,true,false,false,true,true
917,false,true,false,true,false,true
918,false,true,true,false,false,false
919,false,false,true,true,false,true
920,true,false,true,true,false,false
921,false,false,true,true,false,true
922,false,true,false,false,false,false
923,false,true,true,true,true,true
924,false,true,true,false,false,false
925,false,true,false,true,false,false
926,false,false,false,true,true,true
927,false,false,true,true,false,true
928,true,true,false,true,false,true
929,false,true,true,false,true,false
930,false,true,true,true,false,false
931,true,true,true,true,true,true
932,false,false,false,true,false,false
933,true,false,false,true,true,false
934,false,false,false,false,true,true
935,true,false,true,true,false,true
936,false,true,true,false,true,true
937,false,false,true,false,true,false
938,true,false,false,false,false,false
939,true,false,true,false,false,false
940,true,true,false,true,true,false
941,true,false,true,false,true,true
942,true,false,true,false,true,false
943,false,false,true,true,true,true
944,true,false,false,false,true,false
945,true,true,true,true,true,false
946,false,true,false,true,true,false
947,false,false,false,false,false,true
948,true,true,true,false,false,false
949,false,true,true,true,true,true
950,false,false,true,false,true,false
951,true,false,false,true,true,false
952,false,false,true,true,false,true
953,true,true,true,false,true,true
954,false,true,false,false,true,true
955,false,true,false,false,false,true
956,false,true,false,false,true,true
957,true,true,false,true,false,true
958,false,true,true,true,false,true
959,true,false,true,false,false,false
960,true,true,true,true,false,true
961,true,false,true,true,true,true
962,true,false,false,false,false,true
963,true,false,true,true,false,false
964,false,true,false,true,false,false
965,false,true,true,false,true,true
966,false,false,true,true,false,true
967,true,true,true,false,false,true
968,true,true,true,true,false,false
969,true,false,true,true,true,false
970,true,true,true,true,false,true
971,true,false,false,false,true,true
972,false,false,false,true,false,false
973,true,false,false,false,false,false
974,false,true,false,true,true,true
975,false,true,true,false,true,true
976,true,true,false,false,false,false
977,false,false,true,true,false,true
978,false,true,false,false,false,false
979,true,true,true,true,true,true
980,false,true,false,true,false,false
981,false,false,false,false,false,false
982,true,true,false,true,true,false
983,true,false,false,true,false,false
984,false,true,true,false,false,false
985,false,false,true,false,true,false
986,false,true,false,false,false,true
987,true,false,true,false,false,false
988,false,true,false,true,false,false
989,false,false,true,false,true,true
990,false,true,false,true,false,false
991,true,false,true,true,true,false
992,false,false,true,false,false,false
993,true,false,false,true,false,true
994,false,false,false,false,true,true
